Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,LIU Sheng Shu / TAN Ning,China,107784,16,2025-12-16,—
2,Pearly TAN / THINAAH Muralitharan,Malaysia,92716,20,2025-12-16,—
3,KIM Hye Jeong / KONG Hee Yong,Korea,88825,17,2025-12-16,—
4,JIA Yi Fan / ZHANG Shu Xian,China,88700,14,2025-12-16,—
5,Yuki FUKUSHIMA / Mayu MATSUMOTO,Japan,79840,16,2025-12-16,▲2
6,Rin IWANAGA / Kie NAKANISHI,Japan,78963,17,2025-12-16,—
7,BAEK Ha Na / LEE So Hee,Korea,75080,14,2025-12-16,▼2
8,LI Yi jing / LUO Xu min,China,71540,16,2025-12-16,—
9,HSIEH Pei Shan / HUNG En-Tzu,Chinese Taipei,58772,22,2025-12-16,▲2
10,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI,Indonesia,58364,13,2025-12-16,—
11,Gabriela STOEVA / Stefani STOEVA,Bulgaria,58268,16,2025-12-16,▲1
12,Nami MATSUYAMA / Chiharu SHIDA,Japan,57312,7,2025-12-16,▼3
13,YEUNG Nga Ting / YEUNG Pui Lam,Hong Kong,52993,18,2025-12-16,▲1
14,HSU Yin-Hui / LIN Jhih Yun,Chinese Taipei,52160,24,2025-12-16,▲1
15,CHANG Ching Hui / YANG Ching Tun,Chinese Taipei,49878,23,2025-12-16,▲1
16,Rui HIROKAMI / Sayaka HOBARA,Japan,49560,12,2025-12-16,▲1
17,Lanny Tria MAYASARI / Siti Fadia Silva RAMADHANTI,Indonesia,48889,11,2025-12-16,▲1
18,HSU Ya Ching / SUNG Yu-Hsuan,Chinese Taipei,48590,20,2025-12-16,▲1
19,JEONG Na Eun / LEE Yeon Woo,Korea,48244,13,2025-12-16,▲1
20,Treesa JOLLY / GAYATRI GOPICHAND PULLELA,India,47001,11,2025-12-16,▼7
